;DS_CARGO;NM_UE
5208268;Governador;PIAUÍ
5209006;Senador;PIAUÍ
5323737;Senador;ACRE
5323738;Governador;ACRE
5643866;Senador;DISTRITO FEDERAL
5646068;Governador;ESPÍRITO SANTO
5646726;Senador;ESPÍRITO SANTO
5855814;Deputado Estadual;ACRE
5856549;Deputado Federal;ACRE
5858756;Governador;ALAGOAS
5858781;Senador;ALAGOAS
6031953;Deputado Federal;ALAGOAS
6037786;Deputado Estadual;ALAGOAS
6837497;Deputado Federal;MARANHÃO
6918707;Deputado Estadual;MARANHÃO
7108589;Deputado Estadual;MATO GROSSO DO SUL
7110035;Deputado Federal;MATO GROSSO DO SUL
7123304;Conselheiro Distrital;FERNANDO DE NORONHA
7142115;Deputado Estadual;AMAZONAS
7142116;Deputado Federal;AMAZONAS
7142833;Senador;AMAPÁ
7159734;Deputado Federal;AMAPÁ
7161161;Deputado Estadual;AMAPÁ
7170668;Governador;BAHIA
7171417;Senador;BAHIA
7348052;Deputado Federal;PARÁ
7358810;Deputado Estadual;PARÁ
7368989;Deputado Estadual;PARAÍBA
7369673;Deputado Federal;PARAÍBA
7376818;Governador;PERNAMBUCO
7377536;Senador;PERNAMBUCO
7433118;Deputado Estadual;PERNAMBUCO
7441662;Deputado Federal;PERNAMBUCO
7528544;Governador;AMAPÁ
7528549;Governador;DISTRITO FEDERAL
7538575;Senador;MATO GROSSO
7650080;Governador;RIO DE JANEIRO
7763526;Deputado Estadual;SANTA CATARINA
7763528;Deputado Federal;SANTA CATARINA
7767895;Governador;RONDÔNIA
7777464;Senador;PARAÍBA
7777466;Governador;PARAÍBA
7778410;Governador;MATO GROSSO DO SUL
7780466;Governador;SERGIPE
7794356;Governador;PARANÁ
7794359;Deputado Estadual;RONDÔNIA
7794363;Senador;PARANÁ
7795174;Senador;SANTA CATARINA
7795177;Governador;SANTA CATARINA
7795578;Deputado Federal;RONDÔNIA
7800083;Senador;RORAIMA
7820054;Senador;SÃO PAULO
7838983;Governador;RIO GRANDE DO NORTE
7854114;Governador;TOCANTINS
7855639;Governador;RIO GRANDE DO SUL
7858072;Governador;RORAIMA
7865061;Senador;RONDÔNIA
7867534;Senador;RIO GRANDE DO SUL
7867767;Senador;SERGIPE
7879875;Senador;MATO GROSSO DO SUL
7887128;Governador;SÃO PAULO
7888753;Senador;MINAS GERAIS
7934918;Deputado Federal;RORAIMA
7935114;Deputado Estadual;RORAIMA
7954341;Senador;RIO GRANDE DO NORTE
7986979;Governador;AMAZONAS
7990865;Governador;PARÁ
8011538;Governador;MARANHÃO
8026885;Governador;GOIÁS
8027031;Senador;AMAZONAS
8027148;Deputado Distrital;DISTRITO FEDERAL
8027302;Senador;GOIÁS
8027303;Deputado Federal;GOIÁS
8030039;Governador;CEARÁ
8030073;Deputado Federal;RIO GRANDE DO NORTE
8030090;Deputado Estadual;RIO GRANDE DO NORTE
8030104;Deputado Estadual;PIAUÍ
8030116;Senador;CEARÁ
8030679;Deputado Federal;PIAUÍ
8030716;Governador;MINAS GERAIS
8030749;Presidente;BRASIL
8030761;Deputado Estadual;RIO GRANDE DO SUL
8030763;Deputado Federal;PARANÁ
8030764;Deputado Estadual;PARANÁ
8030766;Senador;PARÁ
8030768;Deputado Federal;RIO GRANDE DO SUL
8041161;Senador;TOCANTINS
8055534;Deputado Federal;TOCANTINS
8056754;Deputado Federal;DISTRITO FEDERAL
8056981;Deputado Estadual;CEARÁ
8057088;Deputado Federal;CEARÁ
8057145;Deputado Estadual;SÃO PAULO
8057146;Deputado Estadual;TOCANTINS
8057147;Deputado Federal;SÃO PAULO
8057150;Deputado Estadual;GOIÁS
8057895;Deputado Federal;MINAS GERAIS
8059177;Deputado Estadual;MINAS GERAIS
8063059;Deputado Estadual;BAHIA
8063502;Deputado Federal;SERGIPE
8063515;Deputado Estadual;ESPÍRITO SANTO
8063531;Deputado Estadual;MATO GROSSO
8065064;Deputado Federal;ESPÍRITO SANTO
8066967;Deputado Estadual;SERGIPE
8067018;Senador;MARANHÃO
8067024;Deputado Federal;MATO GROSSO
8067062;Deputado Federal;BAHIA
